<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,030417,0000,160.5000000,162.9400000,159.8400000,161.8000000,32636130
SBER,D,040417,0000,161.4000000,163.9500000,160.7000000,163.5000000,23318810
SBER,D,050417,0000,164.3200000,168.4500000,163.8200000,168.1000000,57692310
SBER,D,060417,0000,167.5300000,168.1900000,166.4100000,167.4900000,24375820
SBER,D,070417,0000,166.1300000,166.8400000,160.7100000,161.4900000,59650240
SBER,D,100417,0000,161.1400000,161.3900000,154.5100000,155.2000000,73679940
SBER,D,110417,0000,155.1800000,158.5900000,154.6100000,156.0000000,53273370
SBER,D,120417,0000,156.9400000,157.4400000,150.2800000,150.2800000,53244540
SBER,D,130417,0000,151.5700000,153.3500000,149.7000000,152.0000000,69930590
SBER,D,140417,0000,150.6000000,152.2500000,148.6000000,149.2400000,24840630
SBER,D,170417,0000,149.4000000,154.2000000,147.6200000,153.9900000,48346600
SBER,D,180417,0000,154.4400000,155.5900000,152.1500000,153.4000000,60835810
SBER,D,190417,0000,153.1900000,155.3800000,152.3600000,153.6000000,38948690
SBER,D,200417,0000,152.9900000,158.4000000,152.2600000,158.2100000,64051190
SBER,D,210417,0000,158.7500000,160.3000000,157.8000000,159.5900000,57083470
SBER,D,240417,0000,161.1300000,163.4300000,161.0000000,162.5000000,47923700
SBER,D,250417,0000,163.0800000,163.5300000,161.3100000,162.5500000,40459900
SBER,D,260417,0000,163.1000000,165.8000000,161.7000000,165.0500000,49230820
SBER,D,270417,0000,164.9800000,165.7900000,163.2700000,164.6900000,43668030
SBER,D,280417,0000,165.5000000,166.0000000,163.9100000,165.2000000,40779440
SBER,D,020517,0000,166.0000000,168.3400000,165.0100000,166.6400000,42399190
SBER,D,030517,0000,166.3000000,166.5000000,163.6300000,164.7100000,33445270
SBER,D,040517,0000,164.6000000,167.4000000,163.7800000,165.5000000,37605500
SBER,D,050517,0000,164.2200000,166.6000000,164.0000000,165.8000000,35456420
SBER,D,100517,0000,167.0100000,170.8000000,166.4100000,170.8000000,46231060
SBER,D,110517,0000,171.0100000,172.3900000,168.8400000,169.9700000,56518590
SBER,D,120517,0000,169.7400000,170.4300000,166.8500000,167.7000000,37348590
SBER,D,150517,0000,168.5100000,171.6800000,167.8900000,171.3500000,47039700
SBER,D,160517,0000,170.9100000,172.0000000,169.9800000,170.6600000,37176510
SBER,D,170517,0000,169.8000000,170.6300000,168.1700000,169.2400000,35159440
SBER,D,180517,0000,168.4500000,169.1700000,164.7000000,166.5000000,57391080
SBER,D,190517,0000,167.4000000,170.0800000,165.7100000,168.8700000,36513820
